laborant_id,subject_id,handlengte,handbreedte,sexe
9308,B001,175,98,F
9308,B002,182,102,M
9308,B003,168,93,F
9308,B004,168,106,M
9308,B005,185,107,M
9308,B006,189,107,M
9308,B007,181,112,M
9308,B008,184,103,M
9308,B009,187,106,M
9308,B010,191,109,M
2193,B011,158,95,F
2193,B012,176,89,F
2193,B013,205,106,M
2193,B014,180,96,F
2193,B015,196,111,M
8075,B016,166,94,F
8075,B017,168,89,F
8075,B018,165,95,F
2193,B019,187,104,M
2193,B020,165,97,F
2193,B021,175,96,F
2193,B022,182,97,F
2193,B023,180,115,M
2193,B024,202,110,M
2193,B025,179,106,M
2193,B026,199,119,M
2193,B027,169,90,M
2193,B028,208,115,M
2193,B029,165,95,F
2193,B030,193,109,M
2193,B031,184,96,F
2193,B032,184,102,F
2193,B033,192,110,M
2193,B034,191,119,M
2193,B035,176,92,F
2193,B036,168,95,F
2193,B037,178,105,F
2193,B038,179,102,F
9308,B039,181,105,M
9308,B040,197,108,F
8075,B001,179,91,F
2193,B002,175,102,M
2193,B003,175,96,F
8075,B011,160,93,F
8075,B012,176,88,F
8075,B013,204,104,M
8075,B014,181,97,F
8075,B015,196,104,M
2193,B016,169,92,F
2193,B017,164,90,F
2193,B018,165,96,F
8075,B019,187,100,M
8075,B020,165,96,F
8075,B021,174,99,F
8075,B022,184,96,F
8075,B023,179,113,M
8075,B024,202,110,M
8075,B025,181,104,M
8075,B026,199,115,M
8075,B027,168,89,M
8075,B028,208,120,M
8075,B029,164,90,F
8075,B030,194,110,M
8075,B031,183,92,F
8075,B032,184,101,F
8075,B033,193,109,M
8075,B034,191,117,M
8075,B035,175,91,F
8075,B036,168,95,F
8075,B037,178,104,F
8075,B038,179,102,F
5609,B039,179,105,M
5609,B040,196,109,F
